game,turn,on_turn_player,nested_pick,flat_pick,flat_wpct,flat_wpct_for_nested_pick,cgp
6,0,0,(exch FN),(exch FN),0.559420,0.559420,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 EFNPRST/ABELOOV 0/0 0
6,1,1,8F ABOVE,8D ABOVE,0.506330,0.498073,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 ABELOOV/EIPRSTV 0/0 1
6,2,0,H8 (O)VERTIPS,H8 (O)VERTIPS,0.696359,0.696359,15/15/15/15/15/15/15/5ABOVE5/15/15/15/15/15/15/15 EIPRSTV/BDDILOO 0/20 0
6,3,1,10B BLOODI(E)D,J2 BLOODI(E)D,0.401389,0.399552,15/15/15/15/15/15/15/5ABOVE5/7V7/7E7/7R7/7T7/7I7/7P7/7S7 BDDILOO/AEFGOW? 20/92 0
6,4,0,15A FlOWAGE(S),15A FlOWAGE(S),0.828533,0.828533,15/15/15/15/15/15/15/5ABOVE5/7V7/1BLOODIED6/7R7/7T7/7I7/7P7/7S7 AEFGOW?/EGINPRY 92/92 0
6,5,1,D6 PIGE(O)NRY,D6 PIGE(O)NRY,0.303988,0.303988,15/15/15/15/15/15/15/5ABOVE5/7V7/1BLOODIED6/7R7/7T7/7I7/7P7/FlOWAGES7 EGINPRY/AHINOUY 92/196 0
6,6,0,14F UN(P)AY,14F UN(P)AY,0.622616,0.622616,15/15/15/15/15/3P11/3I11/3G1ABOVE5/3E3V7/1BLOODIED6/3N3R7/3R3T7/3Y3I7/7P7/FlOWAGES7 AHINOUY/AEIJNNT 196/174 0
6,7,1,E5 JIN,E5 JIN,0.310307,0.310307,15/15/15/15/15/3P11/3I11/3G1ABOVE5/3E3V7/1BLOODIED6/3N3R7/3R3T7/3Y3I7/5UNPAY5/FlOWAGES7 AEIJNNT/CEFHIOS 174/223 0
6,8,0,F4 HOC,C12 OF,0.769294,0.767331,15/15/15/15/4J10/3PI10/3IN10/3G1ABOVE5/3E3V7/1BLOODIED6/3N3R7/3R3T7/3Y3I7/5UNPAY5/FlOWAGES7 CEFHIOS/AEENRRT 223/200 0
6,9,1,12F NA(T)TERER,12F RA(T)TENER,0.427856,0.384554,15/15/15/5H9/4JO9/3PIC9/3IN10/3G1ABOVE5/3E3V7/1BLOODIED6/3N3R7/3R3T7/3Y3I7/5UNPAY5/FlOWAGES7 AEENRRT/EFINSZ? 200/259 0
6,10,0,J2 FrENZI(E)S,K2 FIzZENS,0.869553,0.868936,15/15/15/5H9/4JO9/3PIC9/3IN10/3G1ABOVE5/3E3V7/1BLOODIED6/3N3R7/3R1NATTERER2/3Y3I7/5UNPAY5/FlOWAGES7 EFINSZ?/DEOSTTU 259/266 0
7,0,0,(exch EIO),(exch EIO),0.491786,0.491786,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 EEIINOR/BELOPRT 0/0 0
7,1,1,8D BOLTER,8G BOP,0.513362,0.504389,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 BELOPRT/DEEINR? 0/0 1
7,2,0,E5 REj(O)INED,E5 REc(O)INED,0.662644,0.659468,15/15/15/15/15/15/15/3BOLTER6/15/15/15/15/15/15/15 DEEINR?/AKNPTUY 0/22 0
7,3,1,D11 TANKY,6B PUK(E)Y,0.301193,0.295984,15/15/15/15/4R10/4E10/4j10/3BOLTER6/4I10/4N10/4E10/4D10/15/15/15 AKNPTUY/AAFHLRY 22/82 0
7,4,0,F6 HA(L)FA,F6 HA(L)FA,0.674918,0.674918,15/15/15/15/4R10/4E10/4j10/3BOLTER6/4I10/4N10/3TE10/3AD10/3N11/3K11/3Y11 AAFHLRY/ACDHOPU 82/62 0
