game,turn,on_turn_player,inner_calls,inner_rollouts,inner_agree_count,inner_agree_rate,inner_loss_mean,inner_loss_stddev,inner_loss_max,inner_early_stops,inner_early_stop_rate,nested_pick,rack,cgp
1,18,0,9427,2038016,1458,0.154662,0.038947,0.097480,0.889627,3116,0.330540,1D MUR(R)E,ELMORRU,6R2DEVALL/6O4A3/5NO3EW3/4TOM1ISIT3/4AG3IDE2U/4B4RE1C1N/4E4O2R1S/4FIQH1N1FENT/2JAY2IWI2P1E/7CEZVES1A/9E4D/7TIDBIT1Y/4OUPA6i/14N/14G ELMORRU/GHLNOU? 370/208 0
1,19,1,11013,2322145,1099,0.099791,0.019665,0.027744,0.865348,3972,0.360665,14E UH,GHLNOU?,3MURRE1DEVALL/6O4A3/5NO3EW3/4TOM1ISIT3/4AG3IDE2U/4B4RE1C1N/4E4O2R1S/4FIQH1N1FENT/2JAY2IWI2P1E/7CEZVES1A/9E4D/7TIDBIT1Y/4OUPA6i/14N/14G GHLNOU?/ALORSTX 208/400 0
1,20,0,9691,2190671,853,0.088020,0.041365,0.102635,0.803978,1996,0.205964,14H TAXOR,ALORSTX,3MURRE1DEVALL/6O4A3/5NO3EW3/4TOM1ISIT3/4AG3IDE2U/4B4RE1C1N/4E4O2R1S/4FIQH1N1FENT/2JAY2IWI2P1E/7CEZVES1A/9E4D/7TIDBIT1Y/4OUPA6i/4UH8N/14G ALORSTX/AGKLNO? 400/236 0
1,21,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,15G KeG,AGKLNO?,3MURRE1DEVALL/6O4A3/5NO3EW3/4TOM1ISIT3/4AG3IDE2U/4B4RE1C1N/4E4O2R1S/4FIQH1N1FENT/2JAY2IWI2P1E/7CEZVES1A/9E4D/7TIDBIT1Y/4OUPA6i/4UH1TAXOR2N/14G AGKLNO?/AEILORS 236/431 0
1,22,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,D1 (M)ORAL,AEILORS,3MURRE1DEVALL/6O4A3/5NO3EW3/4TOM1ISIT3/4AG3IDE2U/4B4RE1C1N/4E4O2R1S/4FIQH1N1FENT/2JAY2IWI2P1E/7CEZVES1A/9E4D/7TIDBIT1Y/4OUPA6i/4UH1TAXOR2N/6KeG5G AEILORS/ALNO 431/269 0
1,23,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,10A LOAN,ALNO,3MURRE1DEVALL/3O2O4A3/3R1NO3EW3/3ATOM1ISIT3/3LAG3IDE2U/4B4RE1C1N/4E4O2R1S/4FIQH1N1FENT/2JAY2IWI2P1E/7CEZVES1A/9E4D/7TIDBIT1Y/4OUPA6i/4UH1TAXOR2N/6KeG5G ALNO/EIS 269/461 0
2,0,0,18064,3991723,2941,0.162810,0.067313,0.066834,0.465966,5914,0.327391,8H UVAE,AEEIOUV,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 AEEIOUV/ADEFOU? 0/0 0
2,1,1,14912,3226799,3057,0.205003,0.071644,0.075357,0.553652,5587,0.374665,I6 FA(V)OUrED,ADEFOU?,15/15/15/15/15/15/15/7UVAE4/15/15/15/15/15/15/15 ADEFOU?/EINNOTY 0/14 0
2,2,0,13912,3018481,3088,0.221967,0.058250,0.064798,0.693430,5099,0.366518,H12 YONI,EINNOTY,15/15/15/15/15/8F6/8A6/7UVAE4/8O6/8U6/8r6/8E6/8D6/15/15 EINNOTY/ADLOORW 14/68 0
2,3,1,13528,2934803,3157,0.233368,0.063910,0.071229,0.535200,4961,0.366721,G9 WOOLD,ADLOORW,15/15/15/15/15/8F6/8A6/7UVAE4/8O6/8U6/8r6/7YE6/7OD6/7N7/7I7 ADLOORW/EINNTTV 68/59 0
2,4,0,12484,2722260,2866,0.229574,0.059086,0.066619,0.575909,4464,0.357578,F6 INVENT,EINNTTV,15/15/15/15/15/8F6/8A6/7UVAE4/6W1O6/6O1U6/6O1r6/6LYE6/6DOD6/7N7/7I7 EINNTTV/AGGHKOR 59/96 0
2,5,1,11976,2619156,2269,0.189462,0.074819,0.076984,0.634639,4273,0.356797,K4 HOGG(E)R,AGGHKOR,15/15/15/15/15/5I2F6/5N2A6/5V1UVAE4/5EW1O6/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 AGGHKOR/EFGIRTU 96/83 0
2,6,0,10960,2380867,2282,0.208212,0.070642,0.078017,0.703774,4021,0.366880,L3 GIF,EFGIRTU,15/15/15/10H4/10O4/5I2F1G4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 EFGIRTU/AAACKOX 83/118 0
2,7,1,12056,2540477,2328,0.193099,0.085009,0.086556,0.698298,5158,0.427837,J4 KOA,AAACKOX,15/15/11G3/10HI3/10OF3/5I2F1G4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 AAACKOX/EPRRRTU 118/112 0
2,8,0,11832,2520994,2107,0.178076,0.076787,0.082274,0.719622,4778,0.403820,E3 RURP,EPRRRTU,15/15/11G3/9KHI3/9OOF3/5I2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 EPRRRTU/AABCNTX 112/152 0
2,9,1,10864,2281814,2002,0.184278,0.092201,0.095163,0.703455,4755,0.437684,D2 TAXA,AABCNTX,15/15/4R6G3/4U4KHI3/4R4OOF3/4PI2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 AABCNTX/EHPRSTT 152/128 0
2,10,0,12260,2599934,2491,0.203181,0.066755,0.079283,0.763691,5069,0.413458,3C H(AR)T,EHPRSTT,15/3T11/3AR6G3/3XU4KHI3/3AR4OOF3/4PI2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 EHPRSTT/BCEINTT 128/196 0
2,11,1,11648,2467599,2164,0.185783,0.086923,0.094566,0.778675,4818,0.413633,B1 TIC,BCEINTT,15/3T11/2HART5G3/3XU4KHI3/3AR4OOF3/4PI2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 BCEINTT/ADEPRST 196/142 0
2,12,0,11020,2305275,2087,0.189383,0.085488,0.094996,0.732931,4810,0.436479,15E TRA(I)PSED,ADEPRST,1T13/1I1T11/1CHART5G3/3XU4KHI3/3AR4OOF3/4PI2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/7I7 ADEPRST/BEILNTY 142/216 0
2,13,1,9572,1995576,1627,0.169975,0.119135,0.117429,0.852121,4241,0.443063,K4 (HOGGER)EL,BEILNTY,1T13/1I1T11/1CHART5G3/3XU4KHI3/3AR4OOF3/4PI2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U6/5TO1r6/6LYE6/6DOD6/7N7/4TRAIPSED3 BEILNTY/DEIILMS 216/205 0
2,14,0,9516,1949074,1644,0.172762,0.120848,0.124665,0.762651,4488,0.471627,L10 MILDE(D),DEIILMS,1T13/1I1T11/1CHART5G3/3XU4KHI3/3AR4OOF3/4PI2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U1E4/5TO1r1L4/6LYE6/6DOD6/7N7/4TRAIPSED3 DEIILMS/BEINTWY 205/242 0
2,15,1,9413,1874584,1505,0.159885,0.148210,0.156056,0.843958,4775,0.507277,G5 WEY,BEINTWY,1T13/1I1T11/1CHART5G3/3XU4KHI3/3AR4OOF3/4PI2FAG4/5N2A1G4/5V1UVAE4/5EW1O1R4/5NO1U1EM3/5TO1r1LI3/6LYE2L3/6DOD2D3/7N3E3/4TRAIPSED3 BEINTWY/AEEIIRS 242/231 0
2,16,0,9754,1969320,1692,0.173467,0.131400,0.182613,0.895916,4672,0.478983,G1 ERA,AEEIIRS,1T13/1I1T11/1CHART5G3/3XU4KHI3/3AR1W2OOF3/4PIE1FAG4/5NY1A1G4/5V1UVAE4/5EW1O1R4/5NO1U1EM3/5TO1r1LI3/6LYE2L3/6DOD2D3/7N3E3/4TRAIPSED3 AEEIIRS/ABEINT? 231/269 0
2,17,1,10036,2034694,1377,0.137206,0.127638,0.184763,0.831490,4568,0.455161,M8 BEsTAIN,ABEINT?,1T4E8/1I1T2R8/1CHARTA4G3/3XU4KHI3/3AR1W2OOF3/4PIE1FAG4/5NY1A1G4/5V1UVAE4/5EW1O1R4/5NO1U1EM3/5TO1r1LI3/6LYE2L3/6DOD2D3/7N3E3/4TRAIPSED3 ABEINT?/EIIOQRS 269/247 0
2,18,0,15086,3090347,2212,0.146626,0.052024,0.125405,0.899863,6465,0.428543,M2 QIS,EIIOQRS,1T4E8/1I1T2R8/1CHARTA4G3/3XU4KHI3/3AR1W2OOF3/4PIE1FAG4/5NY1A1G4/5V1UVAE1B2/5EW1O1R1E2/5NO1U1EMs2/5TO1r1LIT2/6LYE2LA2/6DOD2DI2/7N3EN2/4TRAIPSED3 EIIOQRS/BCEJLMZ 247/354 0
2,19,1,20508,4434925,2266,0.110493,0.142167,0.236092,0.837289,6659,0.324703,8M (B)EZ,BCEJLMZ,1T4E8/1I1T2R5Q2/1CHARTA4GI2/3XU4KHIS2/3AR1W2OOF3/4PIE1FAG4/5NY1A1G4/5V1UVAE1B2/5EW1O1R1E2/5NO1U1EMs2/5TO1r1LIT2/6LYE2LA2/6DOD2DI2/7N3EN2/4TRAIPSED3 BCEJLMZ/AEIOORS 354/288 0
2,20,0,17205,4097823,2593,0.150712,0.055667,0.152976,0.799518,1723,0.100145,N2 IO,AEIOORS,1T4E8/1I1T2R5Q2/1CHARTA4GI2/3XU4KHIS2/3AR1W2OOF3/4PIE1FAG4/5NY1A1G4/5V1UVAE1BEZ/5EW1O1R1E2/5NO1U1EMs2/5TO1r1LIT2/6LYE2LA2/6DOD2DI2/7N3EN2/4TRAIPSED3 AEIOORS/BCIJLMN 288/396 0
2,21,1,4516,1129000,587,0.129982,0.017897,0.012540,0.055636,0,0.000000,1G (E)MBLIC,BCIJLMN,1T4E8/1I1T2R5QI1/1CHARTA4GIO1/3XU4KHIS2/3AR1W2OOF3/4PIE1FAG4/5NY1A1G4/5V1UVAE1BEZ/5EW1O1R1E2/5NO1U1EMs2/5TO1r1LIT2/6LYE2LA2/6DOD2DI2/7N3EN2/4TRAIPSED3 BCIJLMN/AEENORS 396/318 0
2,22,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,O1 ENSEAR,AEENORS,1T4EMBLIC3/1I1T2R5QI1/1CHARTA4GIO1/3XU4KHIS2/3AR1W2OOF3/4PIE1FAG4/5NY1A1G4/5V1UVAE1BEZ/5EW1O1R1E2/5NO1U1EMs2/5TO1r1LIT2/6LYE2LA2/6DOD2DI2/7N3EN2/4TRAIPSED3 AEENORS/JNSU 318/441 0
2,23,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,11C JUN(TO),JNSU,1T4EMBLIC2E/1I1T2R5QIN/1CHARTA4GIOS/3XU4KHIS1E/3AR1W2OOF2A/4PIE1FAG3R/5NY1A1G4/5V1UVAE1BEZ/5EW1O1R1E2/5NO1U1EMs2/5TO1r1LIT2/6LYE2LA2/6DOD2DI2/7N3EN2/4TRAIPSED3 JNSU/O 441/356 0
2,24,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,O8 (Z)O,O,1T4EMBLIC2E/1I1T2R5QIN/1CHARTA4GIOS/3XU4KHIS1E/3AR1W2OOF2A/4PIE1FAG3R/5NY1A1G4/5V1UVAE1BEZ/5EW1O1R1E2/5NO1U1EMs2/2JUNTO1r1LIT2/6LYE2LA2/6DOD2DI2/7N3EN2/4TRAIPSED3 O/S 356/465 0
3,0,0,15868,3475299,2997,0.188871,0.067754,0.068182,0.574669,5475,0.345034,8H EVICT,CEEILTV,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 CEEILTV/ABEGLLN 0/0 0
3,1,1,13632,2980632,3037,0.222785,0.058347,0.063067,0.440005,4815,0.353213,J3 LABEL(I)NG,ABEGLLN,15/15/15/15/15/15/15/7EVICT3/15/15/15/15/15/15/15 ABEGLLN/EELOOPT 0/22 0
3,2,0,12996,2853462,3017,0.232148,0.052820,0.059616,0.587506,4487,0.345260,K3 OLE,EELOOPT,15/15/9L5/9A5/9B5/9E5/9L5/7EVICT3/9N5/9G5/15/15/15/15/15 EELOOPT/EHIKMOT 22/67 0
3,3,1,12968,2825905,3089,0.238202,0.060072,0.067504,0.556569,4755,0.366672,L1 KITE,EHIKMOT,15/15/9LO4/9AL4/9BE4/9E5/9L5/7EVICT3/9N5/9G5/15/15/15/15/15 EHIKMOT/AEEEOPT 67/40 0
